Page,Name,BHK,Location,Price,Price_per_sqft,Area_sqft,Area_sqm,Area_type,Status,Description,Builder,Posted_Time,Property_URL,Image_URL
1,"3 BHK Flatin Sargasan, Gandhinagar",3 BHK Flat,"Sargasan, Gandhinagar",₹1.26 Cr,"₹4,320 /sqft","2,916 sqft",(271 sqm),Super Built-up Area,Ready To Move,"Experience a new style of living with Altezza by The Palm. It offers an exclusive range of 3 BHK apartments in Sargasan, Gandhinagar. Here is a steal deal for you. Book your 3 BHK apartment here at a never before price of Rs. 1.26 Crore. The unit has a super built-up area of 2916.0 sq. ft. This is a ready to move project. It has been designed keeping every small to large needs of residents in c...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-altezza-by-the-palm-sargasan-gandhinagar-2916-sqft-npspid-V89041074,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"3 BHK Flatin Pethapur, Gandhinagar",3 BHK Flat,"Pethapur, Gandhinagar",₹51.99 Lac,"₹2,962 /sqft","1,755 sqft",(163 sqm),Super Built-up Area,Under Construction,"Experience a new style of living with Satyamev Royal 5. It offers an exclusive range of 3 BHK apartments in Pethapur, Gandhinagar. Here is a steal deal for you. Book your 3 BHK apartment here at a never before price of Rs. 51.99 Lac. The unit has a super built-up area of 1755.0 sq. ft. This is an under construction project. It has been designed keeping every small to large needs of residents in...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-satyamev-royal-5-pethapur-gandhinagar-1755-sqft-npspid-V87599244,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"3 BHK Flatin Raysan, Gandhinagar",3 BHK Flat,"Raysan, Gandhinagar",₹97 Lac,"₹5,083 /sqft","1,908 sqft",(177 sqm),Super Built-up Area,Ready To Move,"This is your chance to a 3 bhk apartment / flat for sale in radhe imperial sky raysan gandhinagar . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has go...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-radhe-imperial-sky-raysan-gandhinagar-1908-sqft-spid-R89058182,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"3 BHK Flatin Raysan, Gandhinagar",3 BHK Flat,"Raysan, Gandhinagar",₹1.25 Cr,"₹5,669 /sqft","2,205 sqft",(205 sqm),Carpet Area,Ready To Move,"We are the proud owners of this 3 bhk apartment available in saral skyline, raysan, gandhinagar. This it is a and the unit is located on 9th floor and has a carpet area of 245 sq.Yards. It has 2 bathroom(s) and 2 balcony(s). The unit is located in a co-Operative society.",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-raysan-gandhinagar-2205-sqft-spid-R90201698,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"3 BHK Flatin Urjanagar 1, Randesan, Gandhinagar",3 BHK Flat,"Urjanagar 1, Randesan, Gandhinagar",₹79 Lac,"₹4,501 /sqft","1,755 sqft",(163 sqm),Carpet Area,Ready To Move,"Situated on the top floor (8th) of a mid-Rise building in divyajivan aura, urjanagar 1, this 5-10 year old 3 bhk flat offers 1755 sqft of well-Laid space with 3 bedrooms and 3 bathrooms. Available immediately, the unfurnished apartment combines comfort with proximity to several religious landmarks in gandhinagar. Ideal for long-Term residence.",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-divyajivan-aura-urjanagar-1-gandhinagar-1755-sqft-spid-F91063942,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"3 BHK Flatin Koba, Gandhinagar",3 BHK Flat,"Koba, Gandhinagar",₹1.2 Cr,"₹4,848 /sqft","2,475 sqft",(230 sqm),Super Built-up Area,Ready To Move,"Located in bliss bansari opulence, koba, gandhinagar, this nearly new 3 bhk flat spans 2475 sq.Ft. Situated on the 6th floor of a 13-Story high-Rise, it offers immediate availability. Featuring 3 bedrooms, 3 bathrooms, and modern amenities like a fitness center, clubhouse, and swimming pool, it ensures comfortable urban living near metro, malls, and schools.",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bliss-bansari-opulence-koba-gandhinagar-2475-sqft-spid-W88788888,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"4 BHK Flatin Sargasan, Gandhinagar",4 BHK Flat,"Sargasan, Gandhinagar",₹1.67 Cr,"₹4,525 /sqft","3,690 sqft",(343 sqm),Super Built-up Area,Ready To Move,"sargasan Highlights of shlokam sharnam: Single towers 4 bhk royal green homes 40 apartments; Personal foyer Premium elevator & staircase 2 large balconies 2 car parking Amenities like: Gazebo Green building Gym, indoor games, community hall, home theatre, water body, conference room, working office and much more. Droneview: Location: 360 view: Located on the 6th floor of a mid...",,,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-shlokam-sharnam-sargasan-gandhinagar-3690-sqft-spid-V91094614,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"3 BHK Flatin Sargasan, Gandhinagar",3 BHK Flat,"Sargasan, Gandhinagar",₹1.25 Cr,"₹9,803 /sqft","2,124 sqft",(197 sqm),Super Built-up Area,Ready To Move,"Shilp serenity is one of the most popular destination for buying apartments in sargasan, gandhinagar. You too can be a part of this society by purchasing this 3 bhk flat here. The flat is over 2124 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the 7th level of a 9 storey building. An added advantage of this 1-5 years old flat is that it i...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shubhaarambh-shilp-serenity-sargasan-gandhinagar-2124-sqft-r1-spid-J86783686,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"3 BHK Flatin Kudasan, Gandhinagar",3 BHK Flat,"Kudasan, Gandhinagar",₹75 Lac,"₹7,653 /sqft",980 sqft,(91 sqm),Carpet Area,Ready To Move,"We are the proud owners of this 3 bhk apartment pplavailable in psy pramukh signature, kudasan, gandhinagar. This semi-Furnished apartment it is a and the unit is located on 5th floor and has a carpet area of 980 sq.Ft. . It has 3 bathroom(s) and 2 balcony(s). The ownership is freehold type.o",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-psy-pramukh-signature-kudasan-gandhinagar-980-sqft-spid-G91130676,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"Residential land / Plotin Dahegam, Gandhinagar",,"Dahegam, Gandhinagar",₹2.35 Cr,₹567 /sqft,"41,400 sqft","(3,846 sqm)",,Ready To Move,This land is just 50 mtr near to school and touching approach road,,,https://www.99acres.com/residential-land-plot-for-sale-in-dhegam-gandhinagar-4600-sqyd-r1-spid-Z88808336,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"Studio Apartments / 1 RK Flatsin Gift City, Gandhinagar",1 BHK,"Gift City, Gandhinagar",₹97 Lac,"₹20,082 /sqft",483 sqft,(45 sqm),Carpet Area,Under Construction,"We are the proud owners of this 1 bhk apartment available in , gift city, gandhinagar. This unfurnished apartment, priced approximately at rs97 lac. It will be ready for possession .  it is a resale and an under construction apartment. The unit is located on 27th floor and has  a carpet area of 483 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.",,,https://www.99acres.com/studio-apartment-flat-for-sale-in-vida-by-nila-spaces-gift-city-gandhinagar-483-sqft-spid-C89513918,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"4 BHK Flatin Koba, Gandhinagar",4 BHK Flat,"Koba, Gandhinagar",₹1.68 Cr,"₹38,356 /sqft",438 sqft,(41 sqm),Carpet Area,Ready To Move,"Residential apartment This is your chance to a 4 bhk apartment / flat for sale in koba gandhinagar . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedroom apartment with 4 bathrooms, modular kitchen, spacious hall and 4 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has g...",,,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-koba-gandhinagar-438-sq-ft-spid-I89042256,https://static.99acres.com/universalapp/img/downArrowNew.png
1,"3 BHK Flatin Koba, Gandhinagar",3 BHK Flat,"Koba, Gandhinagar",₹95 Lac,"₹4,712 /sqft","2,016 sqft",(187 sqm),Super Built-up Area,Ready To Move,"vacant & ready for immediate possession ________________________________________ A spacious and well-Maintained 3 bhk apartment is available for sale in the highly rated silicone hills apartments one of raisan's most sought-After residential societies, located on prime pdpu road...",,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-silicone-hills-koba-gandhinagar-2016-sqft-spid-B90874768,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"2 BHK Flatin Raysan, Gandhinagar",2 BHK Flat,"Raysan, Gandhinagar",₹59 Lac,"₹4,149 /sqft","1,422 sqft",(132 sqm),Super Built-up Area,Ready To Move,"Well-Furnished and well-Maintained flat in a peaceful location. The society is decent and well-Managed, with good residents and a calm environment. No issues related to water supply or parking. Ideal for families or working professionals looking for a hassle-Free stay. Nearer to pdpu & metr. Additional details : Piped gas facility is available in the property. The apartment has borings water su...",,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sre-luvkush-4-raysan-gandhinagar-1422-sqft-spid-V88148666,https://static.99acres.com/universalapp/img/checkLineGray.svg
1,"2 BHK Flatin Vavol, Gandhinagar",2 BHK Flat,"Vavol, Gandhinagar",₹60.5 Lac,"₹5,465 /sqft","1,107 sqft",(103 sqm),Carpet Area,Ready To Move,"The flat is east-Facing. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a carpet area of 1107 sq.Ft. The flat has a total of 7 floors and this property is situated on top floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The floor of this flat is beautifully designed using ceramic flooring, giving the flat a...",,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-radhe-vrundavan-residency-vavol-gandhinagar-1107-sqft-r2-spid-L76565921,https://static.99acres.com/universalapp/img/checkLineGray.svg
