Price,Area,Bathrooms,Balconies,Current_Floor,Total_Floors,Furnishing_Status,Mapped_Area,Facing,Property_Age,Bedrooms,Area_Type,Property_Status
126.0,2916.0,3.0,1.0,4.0,8.0,Unknown,Sargasan,Unknown,New,3.0,Super Built-up,Ready_to_Move
51.99,1755.0,3.0,2.0,3.0,7.0,Unknown,Pethapur,Unknown,New,3.0,Super Built-up,Under_Construction
97.0,1908.0,3.0,2.0,4.0,8.0,Unknown,Raysan,Unknown,New,3.0,Super Built-up,Ready_to_Move
125.0,2205.0,2.0,2.0,9.0,13.0,Unknown,Raysan,Unknown,New,3.0,Carpet,Ready_to_Move
79.0,1755.0,3.0,1.0,8.0,13.0,unfurnished,Randesan,Unknown,5-10 years,3.0,Carpet,Ready_to_Move
120.0,2475.0,3.0,1.0,6.0,13.0,Unknown,Koba,Unknown,New,3.0,Super Built-up,Ready_to_Move
167.0,3690.0,4.0,2.0,6.0,13.0,Unknown,Sargasan,Unknown,New,4.0,Super Built-up,Ready_to_Move
125.0,2124.0,3.0,2.0,7.0,9.0,Unknown,Sargasan,Unknown,1-5 years,3.0,Super Built-up,Ready_to_Move
75.0,980.0,3.0,2.0,5.0,8.0,semi-furnished,Kudasan,Unknown,New,3.0,Carpet,Ready_to_Move
97.0,483.0,1.0,1.0,27.0,33.0,unfurnished,Gift City,Unknown,New,1.0,Carpet,Under_Construction
168.0,4714.5882,4.0,4.0,4.0,8.0,Unknown,Koba,Unknown,New,4.0,Carpet,Ready_to_Move
95.0,2016.0,3.0,1.0,4.0,8.0,Unknown,Koba,Unknown,New,3.0,Super Built-up,Ready_to_Move
59.0,1422.0,2.0,1.0,4.0,8.0,furnished,Raysan,Unknown,Unknown,2.0,Super Built-up,Ready_to_Move
60.5,1107.0,2.0,3.0,7.0,7.0,unfurnished,Vavol,East,1-5 years,2.0,Carpet,Ready_to_Move
165.0,3875.04,4.0,2.0,12.0,14.0,Unknown,Koba,Unknown,New,4.0,Super Built-up,Ready_to_Move
155.0,1581.0,2.0,1.0,8.5,25.0,Unknown,Gift City,Unknown,Unknown,2.0,Super Built-up,Under_Construction
54.0,706.0,2.0,1.0,4.0,8.0,Unknown,Sargasan,Unknown,New,2.0,Carpet,Ready_to_Move
60.0,1528.0,3.0,1.0,2.0,6.0,semi-furnished,Sargasan,Other,New,3.0,Super Built-up,Ready_to_Move
95.0,2016.0,3.0,1.0,1.0,5.0,unfurnished,Kudasan,Unknown,5-10 years,3.0,Super Built-up,Ready_to_Move
95.0,2088.0,2.0,1.0,4.0,8.0,Unknown,Gift City,Unknown,New,3.0,Super Built-up,Ready_to_Move
65.0,930.0,2.0,1.0,5.0,8.0,Unknown,Kudasan,North-East,5-10 years,2.0,Carpet,Ready_to_Move
103.0,2070.0,3.0,1.0,4.0,7.0,unfurnished,Kudasan,Unknown,New,3.0,Built-up,Ready_to_Move
70.0,1449.0,2.0,1.0,8.5,25.0,Unknown,Gift City,Unknown,New,2.0,Super Built-up,Ready_to_Move
77.0,1845.0,3.0,2.0,2.0,5.0,unfurnished,Sargasan,North-East,5-10 years,3.0,Built-up,Ready_to_Move
100.0,1935.0,3.0,1.0,13.0,13.0,Unknown,Randesan,Unknown,New,3.0,Super Built-up,Ready_to_Move
145.0,3230.0,3.0,1.0,4.0,8.0,Unknown,Kudasan,Unknown,Unknown,3.0,Super Built-up,Ready_to_Move
65.0,1582.2933,2.0,1.0,5.0,6.0,unfurnished,Kudasan,North-West,10-20 years,2.0,Super Built-up,Ready_to_Move
120.0,2232.0,2.0,1.0,4.0,14.0,unfurnished,Kudasan,East,New,2.0,Super Built-up,Ready_to_Move
129.0,2835.0,3.0,1.0,12.0,13.0,unfurnished,Kudasan,East,1-5 years,3.0,Super Built-up,Ready_to_Move
141.0,2250.0,3.0,1.0,2.0,6.0,unfurnished,Kudasan,East,1-5 years,3.0,Super Built-up,Ready_to_Move
62.0,1350.0,2.0,1.0,4.0,8.0,semi-furnished,Kudasan,Unknown,New,2.0,Super Built-up,Ready_to_Move
145.0,2637.0,3.0,3.0,4.0,7.0,Unknown,Kudasan,Unknown,1-5 years,3.0,Super Built-up,Ready_to_Move
120.0,2250.0,3.0,1.0,8.0,9.0,unfurnished,Koba,North-East,1-5 years,3.0,Super Built-up,Ready_to_Move
111.0,2466.0,3.0,2.0,1.0,13.0,semi-furnished,Sargasan,South,New,3.0,Carpet,Ready_to_Move
78.0,1980.0,3.0,1.0,4.0,8.0,Unknown,Kudasan,Unknown,Unknown,3.0,Super Built-up,Ready_to_Move
60.0,1089.0,2.0,2.0,1.0,3.0,Unknown,Vavol,Unknown,10-20 years,2.0,Super Built-up,Ready_to_Move
125.0,2277.0,3.0,2.0,8.0,9.0,Unknown,Raysan,Unknown,Unknown,3.0,Super Built-up,Ready_to_Move
