Area_sqft,bathrooms,balconies,current_floor,total_floors,furnishing_status,Mapped_Area,facing,property_age_bucket,is_ready_to_move,is_built_up_area,is_carpet_area,is_super_built_up_area,Bedrooms,price
2916.0,3.0,1.0,4.0,8.0,0.0,19.0,8.0,3.0,1,False,False,True,3.0,126.0
1755.0,3.0,2.0,3.0,7.0,0.0,13.0,8.0,3.0,0,False,False,True,3.0,51.99
1908.0,3.0,2.0,4.0,8.0,0.0,16.0,8.0,3.0,1,False,False,True,3.0,97.0
2205.0,2.0,2.0,9.0,13.0,0.0,16.0,8.0,3.0,1,False,True,False,3.0,125.0
1755.0,3.0,1.0,8.0,13.0,3.0,14.0,8.0,2.0,1,False,True,False,3.0,79.0
2475.0,3.0,1.0,6.0,13.0,0.0,9.0,8.0,3.0,1,False,False,True,3.0,120.0
3690.0,4.0,2.0,6.0,13.0,0.0,19.0,8.0,3.0,1,False,False,True,4.0,167.0
2124.0,3.0,2.0,7.0,9.0,0.0,19.0,8.0,0.0,1,False,False,True,3.0,125.0
980.0,3.0,2.0,5.0,8.0,2.0,11.0,8.0,3.0,1,False,True,False,3.0,75.0
483.0,1.0,1.0,27.0,33.0,3.0,5.0,8.0,3.0,0,False,True,False,1.0,97.0
4714.5882,4.0,4.0,4.0,8.0,0.0,9.0,8.0,3.0,1,False,True,False,4.0,168.0
2016.0,3.0,1.0,4.0,8.0,0.0,9.0,8.0,3.0,1,False,False,True,3.0,95.0
1422.0,2.0,1.0,4.0,8.0,1.0,16.0,8.0,4.0,1,False,False,True,2.0,59.0
1107.0,2.0,3.0,7.0,7.0,3.0,33.0,0.0,0.0,1,False,True,False,2.0,60.5
3875.04,4.0,2.0,12.0,14.0,0.0,9.0,8.0,3.0,1,False,False,True,4.0,165.0
1581.0,2.0,1.0,8.5,25.0,0.0,5.0,8.0,4.0,0,False,False,True,2.0,155.0
706.0,2.0,1.0,4.0,8.0,0.0,19.0,8.0,3.0,1,False,False,False,2.0,54.0
1528.0,3.0,1.0,2.0,6.0,2.0,19.0,4.0,3.0,1,False,False,True,3.0,60.0
2016.0,3.0,1.0,1.0,5.0,3.0,11.0,8.0,2.0,1,False,False,True,3.0,95.0
2088.0,2.0,1.0,4.0,8.0,0.0,5.0,8.0,3.0,1,False,False,True,3.0,95.0
930.0,2.0,1.0,5.0,8.0,0.0,11.0,2.0,2.0,1,False,True,False,2.0,65.0
2070.0,3.0,1.0,4.0,7.0,3.0,11.0,8.0,3.0,1,True,False,False,3.0,103.0
1449.0,2.0,1.0,8.5,25.0,0.0,5.0,8.0,3.0,1,False,False,True,2.0,70.0
1845.0,3.0,2.0,2.0,5.0,3.0,19.0,2.0,2.0,1,True,False,False,3.0,77.0
1935.0,3.0,1.0,13.0,13.0,0.0,14.0,8.0,3.0,1,False,False,True,3.0,100.0
3230.0,3.0,1.0,4.0,8.0,0.0,11.0,8.0,4.0,1,False,False,True,3.0,145.0
1582.2933,2.0,1.0,5.0,6.0,3.0,11.0,3.0,1.0,1,False,False,True,2.0,65.0
2232.0,2.0,1.0,4.0,14.0,3.0,11.0,0.0,3.0,1,False,False,True,2.0,120.0
2835.0,3.0,1.0,12.0,13.0,3.0,11.0,0.0,0.0,1,False,False,True,3.0,129.0
2250.0,3.0,1.0,2.0,6.0,3.0,11.0,0.0,0.0,1,False,False,True,3.0,141.0
1350.0,2.0,1.0,4.0,8.0,2.0,11.0,8.0,3.0,1,False,False,True,2.0,62.0
2637.0,3.0,3.0,4.0,7.0,0.0,11.0,8.0,0.0,1,False,False,True,3.0,145.0
2250.0,3.0,1.0,8.0,9.0,3.0,9.0,2.0,0.0,1,False,False,True,3.0,120.0
2466.0,3.0,2.0,1.0,13.0,2.0,19.0,5.0,3.0,1,False,True,False,3.0,111.0
1980.0,3.0,1.0,4.0,8.0,0.0,11.0,8.0,4.0,1,False,False,True,3.0,78.0
1089.0,2.0,2.0,1.0,3.0,0.0,33.0,8.0,1.0,1,False,False,True,2.0,60.0
2277.0,3.0,2.0,8.0,9.0,0.0,16.0,8.0,4.0,1,False,False,True,3.0,125.0
1090.0,3.0,1.0,2.0,7.0,3.0,11.0,0.0,0.0,1,False,True,False,3.0,110.0
1710.0,3.0,1.0,4.0,4.0,0.0,14.0,8.0,4.0,1,False,False,True,3.0,80.0
828.0,2.0,1.0,4.0,8.0,0.0,11.0,8.0,4.0,1,False,True,False,2.0,52.0
1773.0,2.0,1.0,4.0,8.0,3.0,11.0,8.0,3.0,1,False,False,True,3.0,85.0
