Name,Location,Price (INR in Lakhs),Price_per_sqft,Area_sqft,Description,Property_URL,bedrooms,bathrooms,balconies,current_floor,total_floors,furnishing_status,Mapped_Area,facing,property_age_bucket,is_ready_to_move,is_built_up_area,is_carpet_area,is_super_built_up_area,property_type,luxury_score,location_advantage_score
"3 BHK Flatin Sargasan, Gandhinagar","Sargasan, Gandhinagar",126.0,4320.0,2916.0,"Experience a new style of living with Altezza by The Palm. It offers an exclusive range of 3 BHK apartments in Sargasan, Gandhinagar. Here is a steal deal for you. Book your 3 BHK apartment here at a never before price of Rs. 1.26 Crore. The unit has a super built-up area of 2916.0 sq. ft. This is a ready to move project. It has been designed keeping every small to large needs of residents in c...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-altezza-by-the-palm-sargasan-gandhinagar-2916-sqft-npspid-V89041074,3.0,3.0,1.0,,,,Sargasan,,New,1,False,False,True,apartment,0.0,0.0
"3 BHK Flatin Pethapur, Gandhinagar","Pethapur, Gandhinagar",51.99,2962.0,1755.0,"Experience a new style of living with Satyamev Royal 5. It offers an exclusive range of 3 BHK apartments in Pethapur, Gandhinagar. Here is a steal deal for you. Book your 3 BHK apartment here at a never before price of Rs. 51.99 Lac. The unit has a super built-up area of 1755.0 sq. ft. This is an under construction project. It has been designed keeping every small to large needs of residents in...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-satyamev-royal-5-pethapur-gandhinagar-1755-sqft-npspid-V87599244,3.0,3.0,2.0,,,,Pethapur,,New,0,False,False,True,apartment,0.0,0.0
"3 BHK Flatin Raysan, Gandhinagar","Raysan, Gandhinagar",97.0,5083.0,1908.0,"This is your chance to a 3 bhk apartment / flat for sale in radhe imperial sky raysan gandhinagar . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has go...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-radhe-imperial-sky-raysan-gandhinagar-1908-sqft-spid-R89058182,3.0,3.0,2.0,,,,Raysan,,New,1,False,False,True,apartment,0.0,0.0
"3 BHK Flatin Raysan, Gandhinagar","Raysan, Gandhinagar",125.0,5669.0,2205.0,"We are the proud owners of this 3 bhk apartment available in saral skyline, raysan, gandhinagar. This it is a and the unit is located on 9th floor and has a carpet area of 245 sq.Yards. It has 2 bathroom(s) and 2 balcony(s). The unit is located in a co-Operative society.",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-raysan-gandhinagar-2205-sqft-spid-R90201698,3.0,2.0,2.0,9.0,,,Raysan,,New,1,False,True,False,apartment,0.0,0.0
"3 BHK Flatin Urjanagar 1, Randesan, Gandhinagar","Urjanagar 1, Randesan, Gandhinagar",79.0,4501.0,1755.0,"Situated on the top floor (8th) of a mid-Rise building in divyajivan aura, urjanagar 1, this 5-10 year old 3 bhk flat offers 1755 sqft of well-Laid space with 3 bedrooms and 3 bathrooms. Available immediately, the unfurnished apartment combines comfort with proximity to several religious landmarks in gandhinagar. Ideal for long-Term residence.",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-divyajivan-aura-urjanagar-1-gandhinagar-1755-sqft-spid-F91063942,3.0,3.0,1.0,8.0,,unfurnished,Randesan,,5-10 years,1,False,True,False,apartment,0.0,1.0
"3 BHK Flatin Koba, Gandhinagar","Koba, Gandhinagar",120.0,4848.0,2475.0,"Located in bliss bansari opulence, koba, gandhinagar, this nearly new 3 bhk flat spans 2475 sq.Ft. Situated on the 6th floor of a 13-Story high-Rise, it offers immediate availability. Featuring 3 bedrooms, 3 bathrooms, and modern amenities like a fitness center, clubhouse, and swimming pool, it ensures comfortable urban living near metro, malls, and schools.",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bliss-bansari-opulence-koba-gandhinagar-2475-sqft-spid-W88788888,3.0,3.0,1.0,6.0,13.0,,Koba,,New,1,False,False,True,apartment,7.0,6.0
"4 BHK Flatin Sargasan, Gandhinagar","Sargasan, Gandhinagar",167.0,4525.0,3690.0,"sargasan Highlights of shlokam sharnam: Single towers 4 bhk royal green homes 40 apartments; Personal foyer Premium elevator & staircase 2 large balconies 2 car parking Amenities like: Gazebo Green building Gym, indoor games, community hall, home theatre, water body, conference room, working office and much more. Droneview: Location: 360 view: Located on the 6th floor of a mid...",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-shlokam-sharnam-sargasan-gandhinagar-3690-sqft-spid-V91094614,4.0,4.0,2.0,6.0,,,Sargasan,,New,1,False,False,True,apartment,24.0,0.0
"3 BHK Flatin Sargasan, Gandhinagar","Sargasan, Gandhinagar",125.0,9803.0,2124.0,"Shilp serenity is one of the most popular destination for buying apartments in sargasan, gandhinagar. You too can be a part of this society by purchasing this 3 bhk flat here. The flat is over 2124 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the 7th level of a 9 storey building. An added advantage of this 1-5 years old flat is that it i...",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shubhaarambh-shilp-serenity-sargasan-gandhinagar-2124-sqft-r1-spid-J86783686,3.0,3.0,2.0,7.0,9.0,,Sargasan,,1-5 years,1,False,False,True,apartment,0.0,0.0
"3 BHK Flatin Kudasan, Gandhinagar","Kudasan, Gandhinagar",75.0,7653.0,980.0,"We are the proud owners of this 3 bhk apartment pplavailable in psy pramukh signature, kudasan, gandhinagar. This semi-Furnished apartment it is a and the unit is located on 5th floor and has a carpet area of 980 sq.Ft. . It has 3 bathroom(s) and 2 balcony(s). The ownership is freehold type.o",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-psy-pramukh-signature-kudasan-gandhinagar-980-sqft-spid-G91130676,3.0,3.0,2.0,5.0,,semi-furnished,Kudasan,,New,1,False,True,False,apartment,0.0,0.0
"Residential land / Plotin Dahegam, Gandhinagar","Dahegam, Gandhinagar",235.0,567.0,41400.0,This land is just 50 mtr near to school and touching approach road,https://www.99acres.com/residential-land-plot-for-sale-in-dhegam-gandhinagar-4600-sqyd-r1-spid-Z88808336,,,,,,,Dahegam,,Unknown,1,False,False,False,other,0.0,1.0
