Name,Location,Price (INR in Lakhs),Price_per_sqft,Area_sqft,Description,Property_URL,bedrooms,bathrooms,balconies,current_floor,total_floors,furnishing_status,Mapped_Area,facing,property_age_bucket,is_ready_to_move,is_built_up_area,is_carpet_area,is_super_built_up_area,property_type,luxury_score,location_advantage_score
"4 Bedroom Housein Sector 3C Gandhinagar, SG Highway","Sector 3C Gandhinagar, SG Highway",210.0,21605.0,972.0,"Construction g+2 (3 flor )
4 badroom 
2 kitchen 
Property highlights 
East facing, 3 side open property, vetrified flooring, 
Only 2 years,
24 hour water and electricity 
B.U permission approved 
12 meter road
Fully furnished 
4 a.C
Solar system",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-3c-gandhinagar-972-sqft-spid-K90465736,4.0,3.0,2.0,,,furnished,Sector 3,East,Unknown,0,False,False,False,house,5.0,0.0
"6 Bedroom Housein Palodia, Gandhinagar","Palodia, Gandhinagar",800.0,13488.0,5931.0,"This 6 bhk house for sale in palodia, a well planned locality in gandhinagar, is ideal for a family that is looking for complete peace of mind. Containing 6 bedrooms, 6 bathrooms and 1 balcony, this independent house is spread over a super built up area of 659 sq.Yards. The owner of the house also gets 2 open parking slot(s) to park their car safely. Another added advantage of this 1-5 years ol...",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-palodia-ahmedabad-west-5931-sqft-spid-V88747806,6.0,6.0,1.0,,,,Palodia,,1-5 years,1,False,False,False,house,0.0,0.0
"3 Bedroom Housein Raysan, Gandhinagar","Raysan, Gandhinagar",280.0,15556.0,1800.0,"Vrundavan bungalows-2 in raysan, gandhinagar is a peaceful residential bungalow society offering independent homes with spacious layouts and family-Friendly surroundings. The project is ideal for those looking for privacy, open space and comfortable living in a developing premium area. Bungalows are designed with proper ventilation, natural light and private parking facilities. Located near pdp...",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-raysan-gandhinagar-1800-sqft-spid-O90920016,3.0,3.0,1.0,,,,Raysan,,Unknown,1,False,False,False,villa,0.0,5.0
"5 Bedroom Housein Pethapur, Gandhinagar","Pethapur, Gandhinagar",200.0,9789.0,2043.0,"Pethapur is one of gandhinagar's most sought after destination for residential houses and this siddhivinayak bunglows 5 bhk house in pethapur is your opportunity to be a part of this community. This house occupies a super built up area of 227 sq.Yards and contains 5 bedrooms, 5 bathrooms and 1 balcony. Your vehicle(s) can be easily parked as this house comes with 1 covered and 1 open parking. A...",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-pethapur-gandhinagar-2043-sqft-spid-A90784234,5.0,5.0,1.0,,,,Pethapur,,New,1,False,False,False,villa,0.0,0.0
"5 Bedroom Housein Koba, Gandhinagar","Koba, Gandhinagar",650.0,22569.0,2880.0,"Looking to buy a twin bunglows in gandhinagar? Do check out this saharsh villa 5 bhk house in koba, which is an ideal choice for a family. Constructed on a plot area of 320 sq.Yards, this house comprises 5 bedrooms, 5 bathrooms and 2 balconies. The owner of the house also gets 1 covered parking slot(s) to park their car safely. Being a ready to move house, you can expect immediate possession of...",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-koba-gandhinagar-2880-sqft-spid-S90507082,5.0,5.0,2.0,,,unfurnished,Koba,,New,1,False,False,False,villa,0.0,0.0
"5 Bedroom Housein Kudasan, Gandhinagar","Kudasan, Gandhinagar",335.0,25702.0,1303.0,"Presenting an exceptional corner bungalow located in one of the most prestigious and well-Connected neighborhoods, near podar international school. This prime property enjoys a strategic main road position, offering unmatched visibility, accessibility, and convenience. Surrounded by premium residential communities and thriving commercial hubs, the bungalow is within walking distance of leading ...",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-kudasan-gandhinagar-1773-sq-ft-spid-S88763940,5.0,5.0,2.0,,,,Kudasan,,New,1,False,False,False,villa,2.0,1.0
"3 Bedroom Housein Sector 29, Gandhinagar","Sector 29, Gandhinagar",625.0,12401.0,5040.0,"Wishing to settle down in an individual house with your family? This bunglows for sell well-Built and spacious 3 bhk house for sale in sector 29 gandhinagar seems to be an ideal choice for a peaceful abode for a family. Containing 3 bedrooms and 3 bathrooms, this independent house is spread over a plot area of 560 sq.Yards. There is 1 covered parking available with this house. Another added adv...",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-29-gandhinagar-5040-sqft-spid-P89741616,3.0,3.0,2.0,,,,Sector 29,,New,1,False,False,False,villa,0.0,0.0
"4 Bedroom Housein Vavol, Gandhinagar","Vavol, Gandhinagar",275.0,11843.0,2322.0,"Independent house for sale in sector 28, gandhinagar true premium living Experience the freedom of independent living with this spacious home located in the prime residential area of sector 28, gandhinagar. Designed for families who value privacy, space, and ownership, this property offers a lifestyle beyond apartment living. Property overview Plot area: 258 sq.Yd 4 bedrooms",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vavol-gandhinagar-2322-sq-ft-spid-S90749582,4.0,4.0,2.0,,,,Vavol,,New,1,False,False,False,house,0.0,0.0
"4 Bedroom Housein Koba, Gandhinagar","Koba, Gandhinagar",300.0,10101.0,1980.0,"A premium 330 sq. Yd bungalow in devshrut villa, koba offers luxurious and spacious living in one of gandhinagars most sought-After locations.The property features well-Designed interiors, large rooms, and excellent ventilation with ample natural light. Situated near key connectivity routes, it provides easy access to ahmedabad and gift city.",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-waterstone-devshrut-villa-koba-gandhinagar-2970-sqft-spid-M90894056,4.0,4.0,2.0,,,,Koba,,Unknown,1,False,False,False,villa,0.0,5.0
"5 Bedroom Housein Dahegam, Gandhinagar","Dahegam, Gandhinagar",141.0,7756.0,1818.0,"On the lookout for a spacious house in gandhinagar? Go for this shubhvastu villa 5 bhk house for sale in dahegam, a well-Connected locality within gandhinagar. This house occupies a super built up area of 202 sq.Yards and contains 5 bedrooms, 4 bathrooms and more than 3 balconies. There is 1 open parking available with this house. Another added advantage of this 5 years old house is that it is ...",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dhegam-gandhinagar-1818-sqft-spid-E89637544,5.0,4.0,3.0,,,unfurnished,Dahegam,,Unknown,1,False,False,False,villa,0.0,0.0
"5 Bedroom Housein Raysan, Gandhinagar","Raysan, Gandhinagar",550.0,16606.0,3312.0,Pdpu collage -1 km Metro-1 km Hospital hmvs.2 km Riverfront -200 mtr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-raysan-gandhinagar-3312-sqft-spid-R91268984,5.0,5.0,2.0,,,,Raysan,,New,1,False,False,False,house,0.0,10.0
"5 Bedroom Housein Raysan, Gandhinagar","Raysan, Gandhinagar",330.0,17460.0,1890.0,Riverfront -200 mtr B.U.Permission Pdpu collage -1 km Metro -1 km Bhaijipura market With dastavej including 0nly 11 bunglow Sepret parking and common parking,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-vrundavan-homes-raysan-gandhinagar-1890-sqft-spid-G90814508,0.0,1.0,0.0,,,,Raysan,,New,1,False,False,False,villa,6.0,4.0
"3 BHK Flatin Sargasan, Gandhinagar","Sargasan, Gandhinagar",70.0,4630.0,1512.0,"The shukan villa flat is over 168 sq.Yards super built up area and comes with 3 bedrooms, 2 bathrooms and 2 balconies. The property is located on the 5th floor of a 5 floors tall building. Being a ready to move project, you can expect immediate possession of this 12 years old property. Na/noc available.",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sargasan-gandhinagar-1512-sqft-spid-P90658918,3.0,2.0,2.0,5.0,5.0,,Sargasan,,Unknown,1,False,False,True,villa,2.0,0.0
"4 Bedroom Housein Sargasan, Gandhinagar","Sargasan, Gandhinagar",300.0,123456.0,243.0,"Sargasan is one of gandhinagar's most sought after destination for residential houses and this 4 bhk house in sargasan is your opportunity to be a part of this community. This house occupies a super built up area of 243 sq.Ft. And contains 4 bedrooms, 3 bathrooms and 2 balconies. This 4 bhk house comes attached with 1 covered and 1 open parking for your vehicle(s). This is a ready to move house...",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-parijat-homes-sargasan-gandhinagar-243-sqft-spid-Q90439888,4.0,3.0,2.0,,,unfurnished,Sargasan,,New,1,False,False,False,house,0.0,0.0
"4 Bedroom Housein Dahegam, Gandhinagar","Dahegam, Gandhinagar",161.0,12006.0,1782.0,1)club house 2)garden area 3)children play area 4)1 car allotted 5)2 two wheeler parking allotted 6)fully air circulation area 7)24 hrs water 8)cctv 9)security 10)pic and drop facility 11)developing area 12) plastic colour paint 13) kitchen & hall fully furnishing. 14) specious bungalow 15) servent entry 16) solar water heater.,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-rudra-shivalay-white-house-dhegam-gandhinagar-1782-sqft-r1-spid-W84645078,0.0,1.0,0.0,,,furnished,Dahegam,,Unknown,1,False,False,False,villa,11.0,0.0
"3 Bedroom Housein Mansa, Gandhinagar","Mansa, Gandhinagar",75.0,6696.0,1119.456,"Available by 2029, this under-Construction 3 bhk independent villa in keshav aaradhyam, mansa, gandhinagar offers 1120 sqft of well-Planned space with 3 bedrooms and 3 bathrooms. The residential property is unfurnished and ideal for those seeking proximity to multiple hospitals, including yashasvi eye hospital and shivam surgical hospital.",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-mansa-gandhinagar-1120-sqft-spid-E91290778,3.0,3.0,2.0,,,unfurnished,Mansa,,New,0,False,False,False,villa,0.0,1.0
"4 Bedroom Housein Vasana Hadmatia, Sargasan","Vasana Hadmatia, Sargasan",330.0,26539.0,1410.0839999999998,"Located in vasana hadmatia, sargasan, gandhinagar, this 4 bhk independent house spans 1413 sqft across multiple floors. With 4 bedrooms and 3 bathrooms, the 10+ year old villa is furnished and available immediately. Nearby religious sites include shree mahakali mataji, swaminarayan, and gayatri mandir, adding cultural value to this residential sale.",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vasana-hadmatia-gandhinagar-1413-sqft-r1-spid-N91033046,4.0,3.0,2.0,,,furnished,Sargasan,,10-20 years,1,False,False,False,villa,10.0,10.0
"Residential propertyin Mansa, Gandhinagar","Mansa, Gandhinagar",27.0,2109.0,1280.0,"Ready for immediate possession, this 1-5 year old residential property in mansa, gandhinagar offers 1280 sq ft of spacious living. Located near several hospitals like yashasvi eye hospital and shivam surgical hospital, it ensures convenience and peace of mind. The property type is classified as other and is ideal for buyers seeking a well-Positioned home in a developing area.",https://www.99acres.com/other-residential-property-for-sale-in-mansa-gandhinagar-1280-sqft-spid-E91238786,0.0,0.0,0.0,,,,Mansa,,1-5 years,1,False,False,False,house,0.0,1.0
"4 Bedroom Housein Vasana Hadmatia, Sargasan","Vasana Hadmatia, Sargasan",415.00000000000006,18444.0,2249.676,"Open from 3 side, vaastu complaint north facing entry and south east kitchen.Available for immediate sale, this 4 bhk independent house in vasana hadmatia, sargasan, gandhinagar offers 2250 sqft of well-Maintained living space. Featuring 4 bedrooms and 4 bathrooms across its layout, the 10+ year old villa is unfurnished and benefits from proximity to several religious sites including shree maha...",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vasana-hadmatia-gandhinagar-2475-sqft-spid-P91189868,4.0,4.0,2.0,,,unfurnished,Sargasan,North,10-20 years,1,False,False,False,villa,3.0,1.0
"5 Bedroom Housein Vasana Hadmatia, Sargasan","Vasana Hadmatia, Sargasan",375.0,26539.0,1413.0,"Premium 5 bhk independent house for sale in sargasan, gandhinagar Experience luxury living in one of gandhinagars fastest-Growing and most sought-After residential locations sargasan. This beautifully designed 5-Bedroom, 3-Bathroom house offers the perfect combination of comfort, connectivity, and future investment potential. Property highlights: - Spacious 5 bedrooms with excellent ventilation...",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-vasana-hadmatia-gandhinagar-1413-sqft-r2-spid-F91033212,5.0,3.0,2.0,,,,Sargasan,,New,1,False,False,False,house,0.0,0.0
"2 Bedroom Housein Sardar Patel Ring Road, Gandhinagar","Sardar Patel Ring Road, Gandhinagar",35.0,25000.0,140.0,"Good property, locality area , nearest shop & all amenities good",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-adira-royal-rejoice-2-sardar-patel-ring-road-gandhinagar-140-sqft-spid-L91124190,2.0,2.0,2.0,,,,SP Ring Road,,Unknown,1,False,False,False,house,0.0,0.0
"4 Bedroom Housein Raysan, Gandhinagar","Raysan, Gandhinagar",200.0,95238.0,215.28,"This 4 bhk independent house in raysan, gandhinagar offers 210 sqft of well-Planned space, featuring 4 bedrooms and 4 bathrooms. Built 5-10 years ago, the villa is available immediately and comes unfurnished. Located near multiple hospitals and infocity, it combines convenience with comfort on a quiet floor.",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-raysan-gandhinagar-210-sqft-spid-R90934376,4.0,4.0,2.0,,,unfurnished,Raysan,,5-10 years,1,False,False,False,villa,0.0,5.0
"1 Bedroom Housein Uvarsad, Gandhinagar","Uvarsad, Gandhinagar",17.0,3541.0,484.38,"Located in vankarvas, uvarsad, gandhinagar, this 1 bhk independent house spans 480 sqft and is available for immediate sale. Over 10 years old, the home features one bedroom and one bathroom, offering a practical layout on a single floor. The property is unfurnished, ideal for customizing your living space in a peaceful neighborhood.",https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-uvarsad-gandhinagar-480-sqft-spid-B90928750,1.0,1.0,1.0,1.0,1.0,unfurnished,Uvarsad,,10-20 years,1,False,False,False,house,0.0,0.0
"4 Bedroom Housein Dahegam, Gandhinagar","Dahegam, Gandhinagar",153.0,9883.0,1548.0,"17, shivalay white house Near shree umiya mataji temple New satellite road Dahegam-Ahmedabad road 4 bhk luxurious bungalow 495 var bandhkam 3 floor Hall size : 19.9 x 17.7 Osize : 21.8 x 11.6 Bedroom size : 18.5 x 11 Bedroom size : 21.8 x 11.6 Bedroom size : 11 x 11.8 Kitchen size : 17 x 10 Toilet size : 15.6 x7 Toilet size : 15.6 x 7 Toilet size : 10.8 x 7 Toilet size : 7 x 4 Toilet size : 6 x...",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-rudra-shivalay-white-house-dhegam-gandhinagar-4455-sqft-spid-J90921388,4.0,5.0,2.0,,3.0,,Dahegam,,New,1,False,False,False,villa,0.0,0.0
"6 Bedroom Housein Panchvati, Kalol, Gandhinagar","Panchvati, Kalol, Gandhinagar",105.0,7556.0,1125.0,,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-panchvati-gandhinagar-1125-sqft-r1-spid-P85605882,6.0,6.0,3.0,,,,Kalol,,Unknown,1,False,False,False,house,,
"3 Bedroom Housein Pethapur, Gandhinagar","Pethapur, Gandhinagar",85.0,9941.0,855.0,"Located in pethapur gandhinagar ,society managed and all basic needs easily available in nearby area",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-pethapur-gandhinagar-855-sqft-r1-spid-P76952725,3.0,3.0,2.0,,,,Pethapur,,Unknown,1,False,False,False,house,0.0,0.0
"3 Bedroom Housein Randheja, Gandhinagar","Randheja, Gandhinagar",115.0,6326.0,1818.0,"Wishing to settle down in an individual house with your family? This well-Built and spacious 3 bhk house for sale in randheja, gandhinagar seems to be an ideal choice for a peaceful abode for a family. The floor plan additionally contains 3 bedrooms, 4 bathrooms and 1 balcony. All in all, the independent house is spread over a super built up area of 202 sq.Yards. The owner of the house also get...",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-randheja-gandhinagar-1818-sqft-spid-V90624176,3.0,4.0,1.0,,,,Randheja,,New,1,False,False,False,house,0.0,0.0
"4 Bedroom Housein Sector 8, Gandhinagar","Sector 8, Gandhinagar",700.0,23569.0,2970.0,Property construction quality is good Primium location Nearby rich community people live Well maintained society Political cabinet mantri government officer business owner Ready move Document title clear,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-8-gandhinagar-2970-sqft-spid-G90729526,4.0,4.0,3.0,,,,Sector 8,,Unknown,1,False,False,False,house,0.0,0.0
"4 Bedroom Housein Kudasan, Gandhinagar","Kudasan, Gandhinagar",350.0,18258.0,1917.0,The vrundavan bunglows is located at the corner of 2 major highways both are about 100m wide,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vrundavan-bunglows-kudasan-gandhinagar-1917-sq-ft-r1-spid-B84699474,4.0,4.0,2.0,,,,Kudasan,,Unknown,1,False,False,False,villa,2.0,3.0
"4 Bedroom Housein Koba, Gandhinagar","Koba, Gandhinagar",291.0,19596.0,1980.0,"This 4 bhk independent villa in koba, gandhinagar offers 1980 sq.Ft. Of well-Designed space, featuring 4 bedrooms and 5 bathrooms. Just 1-5 years old and unfurnished, its available for immediate occupancy. Located near health focus physiotherapy clinic and infocity, it combines convenience with comfort in a sought-After residential area.",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-koba-gandhinagar-2970-sqft-spid-R90677940,4.0,5.0,2.0,,,unfurnished,Koba,,1-5 years,1,False,False,False,villa,0.0,4.0
"4 Bedroom Housein Raysan, Gandhinagar","Raysan, Gandhinagar",302.0,13427.0,2250.0,"Its only 22 bungalows double road corner property, near to gift city, as well all near by property price is 5.5 cr to 12.5 cr",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-mahavir-enclave-raysan-gandhinagar-2250-sqft-spid-Q90676788,4.0,4.0,2.0,,,,Raysan,,New,1,False,False,False,villa,2.0,5.0
"5 Bedroom Housein Kalol, Gandhinagar","Kalol, Gandhinagar",125.0,6039.0,2070.0,,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-kalol-gandhinagar-1890-sqft-spid-D90233282,5.0,5.0,3.0,,,,Kalol,,Unknown,1,False,False,False,house,,
