Name,Location,Price (INR in Lakhs),Price_per_sqft,Area_sqft,Description,Property_URL,bedrooms,bathrooms,balconies,current_floor,total_floors,furnishing_status,Mapped_Area,facing,property_age_bucket,is_ready_to_move,is_built_up_area,is_carpet_area,is_super_built_up_area,property_type,luxury_score,location_advantage_score
"Residential land / Plotin Dahegam, Gandhinagar","Dahegam, Gandhinagar",235.0,567.0,41400.0,This land is just 50 mtr near to school and touching approach road,https://www.99acres.com/residential-land-plot-for-sale-in-dhegam-gandhinagar-4600-sqyd-r1-spid-Z88808336,,,,,,,Dahegam,,Unknown,1,False,False,False,plot,0.0,1.0
"Residential land / Plotin Sanavad, Gandhinagar","Sanavad, Gandhinagar",1350.0,5000.0,27000.0,Planning to build residence in gandhinagar? This plot in sanavad is the best deal for you. It spreads over 3000 sq.Yards super built up area. The property is enclosed by boundary wall. Possession of land can be secured immediately. The property is owned under freehold contract. The plot is available at a price of 13.5 crore. This residential plot is west-Facing direction.,https://www.99acres.com/residential-land-plot-for-sale-in-sanavad-ahmedabad-east-3000-sqyd-spid-Z90127116,,,,,,,Kalol,West,New,1,False,False,False,plot,2.0,0.0
"Residential land / Plotin Palodia, Gandhinagar","Palodia, Gandhinagar",497.0,9444.0,5265.0,An outstanding residential plot is available for sale in prime location .It's one of the best location of ahmedabad. Very good opportunity for those who want to make investment,https://www.99acres.com/residential-land-plot-for-sale-in-palodia-ahmedabad-west-585-sqyd-r8-spid-R76241875,,,,,,,Palodia,,Unknown,1,False,False,False,plot,0.0,0.0
"Residential land / Plotin Palodia, Gandhinagar","Palodia, Gandhinagar",251.0,4775.0,5256.0,,https://www.99acres.com/residential-land-plot-for-sale-in-palodia-ahmedabad-west-584-sqyd-r4-spid-M82947958,,,,,,,Palodia,,Unknown,1,False,False,False,plot,,
"Residential land / Plotin Santej, Gandhinagar","Santej, Gandhinagar",320.0,3556.0,9000.0,,https://www.99acres.com/residential-land-plot-for-sale-in-santej-ahmedabad-north-1000-sqyd-spid-W89399779,,,,,,,Kalol,,Unknown,1,False,False,False,plot,,
"Residential land / Plotin KAMAREDDY, Gandhinagar","KAMAREDDY, Gandhinagar",55.0,18900.0,290.628,"Set in gandhinagar, kamareddy, this 291 sqft residential plot offers ready availability within three months. Ideal for building your own home, the land is unbuilt and unfurnished. Positioned in a developing area, it provides a practical opportunity for buyers seeking a compact, accessible site for future construction.",https://www.99acres.com/residential-land-plot-for-sale-in-gandhinagar-32-sqyd-spid-J91270268,,,,,,unfurnished,Other,,New,0,False,False,False,plot,0.0,0.0
"Residential land / Plotin Dahegam, Gandhinagar","Dahegam, Gandhinagar",800.0,1235.0,64800.0,"Situated in dahegam, gandhinagar, this 64,800 sq ft residential plot offers a rare corner, east-Facing position overlooking the main road. Available for immediate sale, the land benefits from proximity to hospitals, schools, markets, and key amenities like khodiyar temple and bank of baroda atm. Ideal for residential development with excellent connectivity.",https://www.99acres.com/residential-land-plot-for-sale-in-dhegam-gandhinagar-7200-sqyd-spid-X91143546,,,,,,,Dahegam,East,New,1,False,False,False,plot,4.0,4.0
"Residential land / Plotin Dashela, Gandhinagar","Dashela, Gandhinagar",400.0,1327.0,30139.2,"Located in dashela, gandhinagar, this residential land offers 30,138.96 sqft of open space ready for immediate sale. Perfect for building your dream home, the plot boasts a prime location with easy access to local amenities. This opportunity allows for flexible design and development in a serene neighborhood.",https://www.99acres.com/residential-land-plot-for-sale-in-gandhinagar-3349-sqyd-spid-F90989720,,,,,,,Gandhinagar Taluka,,Unknown,1,False,False,False,plot,0.0,0.0
"Residential land / Plotin Dahegam, Gandhinagar","Dahegam, Gandhinagar",385.0,202.0,190575.0,,https://www.99acres.com/residential-land-plot-for-sale-in-dhegam-gandhinagar-21175-sqyd-spid-K90891746,,,,,,,Dahegam,,Unknown,1,False,False,False,plot,,
"Residential land / Plotin Adraj Moti, Gandhinagar","Adraj Moti, Gandhinagar",1800.0,1202.0,149737.0,,https://www.99acres.com/residential-land-plot-for-sale-in-adraj-moti-gandhinagar-10648-sqyd-r2-spid-K88298098,,,,,,,Gandhinagar Taluka,,Unknown,1,False,False,False,plot,,
"Residential land / Plotin Alampur, Gandhinagar","Alampur, Gandhinagar",350.0,1286.0,27225.0,"One vigha agricultural land at prime location in alampur, 500 meters from high way",https://www.99acres.com/residential-land-plot-for-sale-in-alampur-gandhinagar-1936-sqyd-r3-spid-H65941836,,,,,,,Alampur,,Unknown,1,False,False,False,plot,0.0,3.0
"Residential land / Plotin Palodia, Gandhinagar","Palodia, Gandhinagar",333.0,5632.0,5913.0,"Lush green plot with big trees , 4 side masonry boundaries are done, small storage room is constructed. Immediate possession.",https://www.99acres.com/residential-land-plot-for-sale-in-suramya-three-palodia-ahmedabad-west-657-sqyd-r1-spid-R81433945,,,,,,,Palodia,,New,1,False,False,False,plot,0.0,0.0
"Residential land / Plotin Dahegam, Gandhinagar","Dahegam, Gandhinagar",125.0,1798.0,6953.0,"Situated in dahegam, gandhinagar, this 8,676 sq.Ft. Residential land is available for immediate sale. A corner plot overlooking a club, it offers a prime location close to markets and schools. The plot lies within easy reach of khodiyar temple, medical facilities, and atms, making it ideal for residential development.",https://www.99acres.com/residential-land-plot-for-sale-in-dhegam-gandhinagar-773-sqyd-spid-O89927188,,,,,,,Dahegam,,Unknown,1,False,False,False,plot,2.0,1.0
"Residential land / Plotin Gift City, Gandhinagar","Gift City, Gandhinagar",1500.0,60.0,2501297.0,"Based on the provided property card (Milkat card) for the property in gandhinagar, here is a detailed summary of the land information and its ownership history: Property details Location: Shahpur ward (Non-Agricultural), gandhinagar district. Survey number: City survey no. Na506/2. Sheet & card number: Sheet no. Na99, card no. 73. Area: 2378 square meters. Upin: Gj. Status: Non-Agricultural (Na...",https://www.99acres.com/residential-land-plot-for-sale-in-gift-city-gandhinagar-277922-sqyd-spid-F89918140,,,,,,,Gift City,,Unknown,1,False,False,False,plot,0.0,0.0
"Residential land / Plotin Palodia, Gandhinagar","Palodia, Gandhinagar",229.0,4278.0,5355.0,"Set in avirat sopan icon, palodia, gandhinagar, this 5355 sq.Ft. Residential plot offers immediate availability for sale. Positioned conveniently near multiple bus depots including ghuma brts terminal and dps delhi public school, it provides excellent connectivity. The land is unfurnished and ready for development, situated on the ground floor for easy access.",https://www.99acres.com/residential-land-plot-for-sale-in-avirat-sopan-icon-palodia-ahmedabad-west-595-sqyd-r1-spid-I89724778,,,,0.0,,unfurnished,Palodia,,New,1,False,False,False,plot,0.0,2.0
"Residential land / Plotin Vardhaman Nagar, Kalol, Gandhinagar","Vardhaman Nagar, Kalol, Gandhinagar",225.0,3846.0,5850.0,,https://www.99acres.com/residential-land-plot-for-sale-in-vardhaman-nagar-gandhinagar-650-sqyd-spid-U89461188,,,,,,,Kalol,,Unknown,1,False,False,False,plot,,
"Residential land / Plotin Koba, Gandhinagar","Koba, Gandhinagar",503.0,8985.0,5598.0,"Discover a prestigious investment at rajdhani retreat, a premium cooperative society strategically located opposite koba metro station on the highgrowth ahmedabadgandhinagar corridor. This eastfacing corner plot is uniquely positioned at the junction of two wide roads, offering superior accessibility and visibility. Directly facing a serene jain temple, the plot balances spiritual tranquility w...",https://www.99acres.com/residential-land-plot-for-sale-in-koba-gandhinagar-622-sq-yard-spid-F89308601,,,,,,,Koba,East,Unknown,1,False,False,False,plot,4.0,3.0
"Residential land / Plotin Randheja, Gandhinagar","Randheja, Gandhinagar",425.0,2099.0,20250.0,,https://www.99acres.com/residential-land-plot-for-sale-in-randheja-gandhinagar-2250-sqyd-spid-C86348846,,,,,,,Randheja,,Unknown,1,False,False,False,plot,,
"Residential land / Plotin Dabhoda, Gandhinagar","Dabhoda, Gandhinagar",1800.0,1469.0,122512.0,,https://www.99acres.com/residential-land-plot-for-sale-in-dabhoda-gandhinagar-8712-sqyd-spid-O85546158,,,,,,,Dabhoda,,Unknown,1,False,False,False,plot,,
"Residential land / Plotin VAISHNODEVI TEMPLE, GANDHINAGAR","VAISHNODEVI TEMPLE, GANDHINAGAR",755.0,7778.0,9702.0,"Planning to build residence in gandhinagar? This plot in vaishnodevi temple, gandhinagar is the best deal for you. The plot is around super built up area of 566 sq.Yards in size. To build the residence, possession is expected immediately. The property is owned under freehold contract. The plot is available at a price of 3.96 crore. This residential plot is north-East-Facing direction.",https://www.99acres.com/residential-land-plot-for-sale-in-gandhinagar-1078-sqyd-r3-spid-J83948138,,,,,,,SG Highway,North-East,New,1,False,False,False,plot,2.0,0.0
"Residential land / Plotin Rakanpur, Gandhinagar","Rakanpur, Gandhinagar",945.0,11667.0,8100.0,900 sqyd plot in sopan retret s p ring road science city circal good loction and primium loction and indujal plot all over super view,https://www.99acres.com/residential-land-plot-for-sale-in-avirat-sopan-retreat-rakanpur-ahmedabad-north-900-sq-yard-spid-G89491098,,,,,,,Kalol,,Unknown,1,False,False,False,plot,0.0,0.0
"Residential land / Plotin Palodia, Gandhinagar","Palodia, Gandhinagar",304.0,8889.0,3420.0,Prime plot available in a fast-Growing location perfect for your dream home or a smart investment.,https://www.99acres.com/residential-land-plot-for-sale-in-palodia-ahmedabad-west-380-sqyd-spid-Y91266272,,,,,,,Palodia,,Unknown,1,False,False,False,plot,0.0,0.0
